Résultats moyennés sur 10 simulations, avec N = 55
================================================================================
                                                                                        RMSE moyen      RMSE std     RMV moyen  Temps moyen (s)
KETKF-rbf (infl=1.01, c=1.0, reg=0.0001, sigma=0.5, deg=2, log_tr=True)               5.039555e+00  6.164648e-02  1.014931e+00        11.250518
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.0001, sigma=0.5, deg=2, log_tr=True)           5.054119e+00  5.254877e-02  1.015993e+00        11.960742
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.001, sigma=0.5, deg=2, log_tr=True)            5.056926e+00  5.230332e-02  1.016029e+00        11.994568
KETKF-rbf (infl=1.01, c=1.0, reg=0.0001, sigma=0.25, deg=2, log_tr=True)              5.069065e+00  4.807905e-02  1.017627e+00        11.592083
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.001, sigma=0.25, deg=2, log_tr=True)           5.076654e+00  4.487362e-02  1.018365e+00        12.224633
KETKF-rbf (infl=1.01, c=1.0, reg=0.001, sigma=0.25, deg=2, log_tr=True)               5.085558e+00  5.208938e-02  1.018724e+00        11.567581
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.0001, sigma=0.25, deg=2, log_tr=True)          5.094037e+00  4.007357e-02  1.019597e+00        12.226640
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.001, sigma=0.1, deg=2, log_tr=True)            5.106626e+00  4.715467e-02  1.020726e+00        11.177440
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.0001, sigma=0.1, deg=2, log_tr=True)           5.118134e+00  3.666003e-02  1.022126e+00        11.134862
KETKF-rbf (infl=1.01, c=1.0, reg=0.001, sigma=0.1, deg=2, log_tr=True)                5.126210e+00  2.867257e-02  1.022755e+00        10.982621
KETKF-rbf (infl=1.01, c=1.0, reg=0.0001, sigma=0.1, deg=2, log_tr=True)               5.126326e+00  3.330104e-02  1.022913e+00        10.984545
KETKF-polynomial (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=3, log_tr=True)        5.331613e+00  2.665404e+00  7.510642e-01        11.277204
KETKF-rbf (infl=1.001, c=1.0, reg=0.001, sigma=0.5, deg=2, log_tr=True)               5.745899e+00  5.442236e-02  1.074226e+00        11.169324
KETKF-rbf (infl=1.001, c=1.0, reg=0.0001, sigma=0.5, deg=2, log_tr=True)              5.771000e+00  6.841756e-02  1.076909e+00        11.200080
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.0001, sigma=0.5, deg=2, log_tr=True)          5.778367e+00  5.971178e-02  1.077110e+00        11.903002
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.001, sigma=0.5, deg=2, log_tr=True)           5.789947e+00  6.205197e-02  1.078772e+00        11.890315
KETKF-rbf (infl=1.001, c=1.0, reg=0.001, sigma=0.25, deg=2, log_tr=True)              5.811792e+00  4.937474e-02  1.080303e+00        11.590925
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.001, sigma=0.25, deg=2, log_tr=True)          5.820701e+00  4.825677e-02  1.081369e+00        12.167400
KETKF-rbf (infl=1.001, c=1.0, reg=0.0001, sigma=0.25, deg=2, log_tr=True)             5.821436e+00  6.136246e-02  1.081626e+00        11.605292
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.0001, sigma=0.25, deg=2, log_tr=True)         5.826783e+00  6.105802e-02  1.081985e+00        12.164054
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.0001, sigma=0.1, deg=2, log_tr=True)          5.836305e+00  3.878994e-02  1.082694e+00        11.157541
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.001, sigma=0.1, deg=2, log_tr=True)           5.846156e+00  4.359405e-02  1.083174e+00        11.166436
KETKF-rbf (infl=1.001, c=1.0, reg=0.0001, sigma=0.1, deg=2, log_tr=True)              5.850152e+00  4.401303e-02  1.083726e+00        11.030527
KETKF-rbf (infl=1.001, c=1.0, reg=0.001, sigma=0.1, deg=2, log_tr=True)               5.864925e+00  4.003484e-02  1.085256e+00        11.007183
EnKF-Sqrt (infl=1.01, trunc=True)                                                     5.899046e+00  2.549196e+00  4.163869e+00         9.734978
KETKF-polynomial (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)         6.140587e+00  4.322614e+00  7.287947e-01        11.335638
KETKF-rbf (infl=1.001, c=1.0, reg=0.0001, sigma=0.5, deg=2, trunc=True)               6.571988e+00  4.512472e-02  8.826650e-02        11.137999
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.001, sigma=0.1, deg=2, trunc=True)            6.572158e+00  4.647267e-02  8.827221e-02        11.095569
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.001, sigma=0.25, deg=2, trunc=True)           6.572560e+00  4.109753e-02  8.826939e-02        11.945256
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.0001, sigma=0.25, deg=2, trunc=True)          6.572875e+00  4.103075e-02  8.825935e-02        11.919466
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.001, sigma=0.5, deg=2, trunc=True)            6.573064e+00  4.430612e-02  8.824040e-02        11.888337
KETKF-rbf (infl=1.001, c=1.0, reg=0.001, sigma=0.25, deg=2, trunc=True)               6.573922e+00  4.439287e-02  8.825288e-02        11.568591
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.0001, sigma=0.5, deg=2, trunc=True)           6.574282e+00  4.461699e-02  8.826326e-02        11.862447
KETKF-rbf_exp (infl=1.001, c=1.0, reg=0.0001, sigma=0.1, deg=2, trunc=True)           6.574607e+00  4.631867e-02  8.825892e-02        11.084535
KETKF-rbf (infl=1.001, c=1.0, reg=0.001, sigma=0.5, deg=2, trunc=True)                6.574951e+00  4.744858e-02  8.826312e-02        11.149934
KETKF-rbf (infl=1.001, c=1.0, reg=0.001, sigma=0.1, deg=2, trunc=True)                6.575249e+00  4.343881e-02  8.827405e-02        10.981170
KETKF-rbf (infl=1.001, c=1.0, reg=0.0001, sigma=0.25, deg=2, trunc=True)              6.576465e+00  4.714119e-02  8.825907e-02        11.575981
KETKF-rbf (infl=1.001, c=1.0, reg=0.0001, sigma=0.1, deg=2, trunc=True)               6.578267e+00  4.542827e-02  8.825497e-02        11.001281
KETKF-rbf (infl=1.01, c=1.0, reg=0.001, sigma=0.25, deg=2, trunc=True)                6.601300e+00  4.330646e-02  8.907705e-02        11.610212
KETKF-rbf (infl=1.01, c=1.0, reg=0.001, sigma=0.5, deg=2, trunc=True)                 6.601383e+00  4.326259e-02  8.907973e-02        11.217012
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.0001, sigma=0.5, deg=2, trunc=True)            6.601405e+00  4.306512e-02  8.907371e-02        11.892124
KETKF-rbf (infl=1.01, c=1.0, reg=0.0001, sigma=0.25, deg=2, trunc=True)               6.602275e+00  4.169865e-02  8.908377e-02        11.607513
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.001, sigma=0.25, deg=2, trunc=True)            6.603001e+00  4.447494e-02  8.907115e-02        11.982719
KETKF-rbf (infl=1.01, c=1.0, reg=0.001, sigma=0.1, deg=2, trunc=True)                 6.603056e+00  4.168849e-02  8.907820e-02        10.961814
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.001, sigma=0.1, deg=2, trunc=True)             6.603460e+00  4.391761e-02  8.907256e-02        11.171597
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.0001, sigma=0.25, deg=2, trunc=True)           6.603475e+00  4.122559e-02  8.908872e-02        11.985131
